gene,module
FCRL3,5
PSMB8,6
PSMB10,6
IFI35,6
RARRES3,6
HCP5,6
UBE2L6,6
GBP1,6
PSMB9,6
STAT1,6
NLRC5,6
TAP1,6
CXCL11,6
HLA-A,6
HLA-B,6
RFX5,6
MX1,6
ISG15,6
OAS1,6
IFI44,6
IRF9,6
OAS2,6
EPSTI1,6
DDX60,6
ISG20,6
IRF1,6
IFI6,6
NMI,6
HLA-F,6
CXCL10,6
RNF213,6
CXCL9,6
IFIT3,6
APOL3,6
ETV7,6
IFIT2,6
TRIM22,6
FAM26F,6
GBP5,6
CMPK2,6
RSAD2,6
HLA-E,6
IFI44L,6
TRIM21,6
SAMD9,6
IFIH1,6
RTP4,6
WARS,6
GBP4,6
TRAFD1,6
BTN3A2,6
BTN3A3,6
BTN3A1,6
PARP12,6
ZNFX1,6
TPM2,7
MSRB3,7
COL1A1,7
COL1A2,7
COL3A1,7
COL4A2,7
COL5A1,7
THBS2,7
THY1,7
PMP22,7
LUM,7
EFEMP1,7
COL4A1,7
LOXL1,7
FBN1,7
COL6A3,7
IGFBP7,7
DPYSL3,7
CCDC80,7
ITGBL1,7
DCN,7
LAMA2,7
SMOC2,7
TAGLN,7
ACTA2,7
MGP,7
MMP2,7
OGN,7
SSPN,7
AEBP1,7
LTBP2,7
MFAP4,7
ADGRA2,7
FBLN5,7
C7,7
ASPN,7
ARMCX1,7
ARMCX2,7
GPX8,7
EFEMP2,7
DPT,7
B3GALNT1,7
ZNF532,7
C1orf198,7
WBP5,7
CTBP2,7
ARF4,8
LRRC59,8
MANF,8
SDF2L1,8
DNAJB11,8
HSPA5,8
HYOU1,8
SEC61A1,8
DNAJC3,8
SRPRB,8
ARFGAP3,8
PPIL1,8
KRT7,9
EPCAM,9
TACSTD2,9
CLIC6,9
CFTR,9
CXCL6,9
MMP7,9
SLC12A2,9
IGLL3P,10
MZB1,10
IGHG3,10
POU2AF1,10
IGKV1-5,10
JCHAIN,10
IGHA1,10
TNFRSF17,10
RPS4Y1,11
EIF1AY,11
DDX3Y,11
USP9Y,11
KDM5D,11
TXLNGY,11
ZFY,11
UTY,11
HMGCS1,12
SQLE,12
NSDHL,12
FDFT1,12
HMGCR,12
IDI1,12
MSMO1,12
STIP1,13
HSPH1,13
HSPA8,13
HSP90AA1,13
HSP90AA4P,13
HSP90AB1,13
MT1G,14
MT1F,14
MT1M,14
MT1H,14
MT1JP,14
PNISR,15
LUC7L3,15
SRSF11,15
TTC14,15
RBL2,16
MPDZ,16
ZFP1,16
A1CF,16
FAM150B,17
KCNJ16,17
SFRP5,17
CLDN10,17
TSC22D3,18
FKBP5,18
TRIM35,18
ASB13,18
PDIA6,19
PDIA4,19
PDIA3,19
S100A9,20
S100A8,20
S100A12,20
PER1,21
KLF9,21
SYBU,21
LSS,22
EBP,22
FDPS,22
PER3,23
DBP,23
TEF,23
GADD45GIP1,24
ICT1,24
C19orf60,24
PLN,25
