gene,module
BANK1,45
MS4A1,45
CYP1A1,46
CYP1A2,46
KLKB1,47
F11,47
ACSM3,48
ALAD,48
CLEC4G,49
CLEC4M,49
HEPACAM,50
HEPN1,50
SAA1,51
SAA2,51
FPR2,52
FPR1,52
ADH6,53
ADH4,53
DDTL,54
MIF,54
KDM6A,55
XIST,55
FADS2,56
FADS1,56
