gene,module
CMPK2,13
RSAD2,13
ETV5,14
COLQ,14
SLC6A6,14
IGFBP2,14
NPPB,14
NPPA,14
JCHAIN,15
IGHM,15
IGHA1,15
IGHG3,15
IGKV1-5,15
MZB1,15
SERPING1,16
C1R,16
EFEMP1,16
CFH,16
C1S,16
HNRNPDL,17
HNRNPK,17
PNN,17
HNRNPA2B1,17
DDX5,17
SLC25A20,18
MLYCD,18
ECHDC3,18
CPT2,18
PEX11A,18
TNC,19
FN1,19
CTGF,19
PRSS23,19
PRELID1,20
HN1,20
CHIC2,20
DYNLL1,20
PCDHGB5,21
PCDHGA8,21
ABLIM1,21
RABAC1,22
SELM,22
PGLS,22
MEF2A,23
CDH2,23
SORBS2,23
PDK2,24
MDH2,24
ASB8,24
PPP1R1A,25
DHRS7C,25
CHADL,25
SDHB,26
UQCRFS1,26
NUDT6,26
TUBB1,27
PPBP,27
PF4,27
CD1C,28
CD1E,28
CD1B,28
THRSP,29
ADIPOQ,29
PLIN1,29
COL4A2,30
COL4A1,30
TARDBP,31
SLTM,31
STARD10,32
GAMT,32
CALCOCO1,33
EEF1A2,33
SF3B1,34
KMT2C,34
KLF6,35
ELF1,35
FSTL3,36
TNFRSF12A,36
S100A9,37
S100A8,37
DES,38
ITGA7,38
TSC22D3,39
DDIT4,39
RBP4,40
TF,40
TMEM243,41
ZMYM6NB,41
NRAS,42
RAP1GDS1,42
SMTN,43
TMEM143,43
TMEM176B,44
TMEM176A,44
DYNC1LI1,45
USP46,45
ZDHHC17,46
DHX9,46
ZEB1,47
ZFR,47
ABCA8,48
ABCA10,48
GAS1,49
DCN,49
GIMAP4,50
GIMAP7,50
CA14,51
HEY2,51
ETV7,52
SECTM1,52
SLC9A9,53
ATP8B4,53
IRX1,54
IRX2,54
RAB5C,55
CFL1,55
SMC3,56
UFL1,56
CD5,57
CD3E,57
HPR,58
HP,58
MBNL1,59
UBXN4,59
ATP1A3,60
CS,60
RET,61
DLK1,61
TUBA3D,62
TUBA3E,62
FBXO40,63
AKAP1,63
UHMK1,64
SPEN,64
