gene,module
SLFN11,1
NECAP2,1
C13orf18,1
SAMSN1,1
TLR2,1
CARD16,1
ST8SIA4,1
KIAA1949,1
CD4,1
SAMHD1,1
RASSF2,1
PTPRE,1
CARD8,1
PIK3CG,1
RGS10,1
FOLR2,1
MS4A7,1
VAV1,1
HVCN1,1
SRGN,1
PLEK,1
IGSF6,1
FAM49A,1
EVI2B,1
FERMT3,1
TCIRG1,1
CD72,1
GPSM3,1
SLC15A3,1
HLA-DMB,1
SLC9A9,1
HCLS1,1
GGTA1,1
TMSB4X,1
MLKL,1
CCDC109B,1
TLR1,1
FAM26F,1
NMI,1
GBP2,1
TRIM22,1
NFE2L3,1
ARAP2,1
FCGR3A,1
DTX3L,1
SAMD9,1
ARPC5,1
RAB27A,1
MAP3K8,1
CCDC88A,1
SH3BGRL3,1
EMILIN2,1
RAP2B,1
FCGR2A,1
TGFB1,1
VASP,1
VSIG4,1
CD163,1
LILRB4,1
CD14,1
TLR4,1
SIGLEC1,1
RFTN1,1
CD302,1
C1S,1
IER5,1
LYAR,1
EHBP1L1,1
ICAM1,1
NAGK,1
IFNAR2,1
TUBA1B,1
ARNTL2,1
ANXA1,1
HECA,1
HHEX,1
GNB4,1
ENTPD1,1
DDX60L,1
NCK1,1
C14orf106,1
CLIC2,1
CD47,1
C1R,1
GPR34,1
MS4A4A,1
MSR1,1
SH2B3,1
SP110,1
MYBL1,1
FNBP1,1
CCR2,1
LILRB1,1
SIGLEC7,1
FAM78A,1
CXorf21,1
RCSD1,1
GIMAP7,1
NDC80,1
HAPLN3,1
TRPV2,1
SLAMF8,1
PILRA,1
ARRB2,1
IFI30,1
RNF213,1
IMPDH1,1
PPM1M,1
ANKRD13A,1
ADA,1
CLEC2B,1
GIMAP1,1
DOK2,1
LSP1,1
C17orf49,1
PMAIP1,1
MFNG,1
C17orf60,1
PRKCH,1
SMCHD1,1
STX11,1
ELF4,1
MAN2B1,1
PHTF2,1
PSTPIP2,1
GCNT1,1
GIMAP5,1
DNMT1,1
TRAF5,1
TIFA,1
CD84,1
FCGR1A,1
BID,1
REL,1
JAK2,1
GIMAP8,1
FES,1
SP140L,1
LRRC8C,1
TIMP2,1
ARHGEF6,1
DCLRE1C,1
RNF125,1
CD1D,1
DPEP2,1
FCGR1B,1
RASGEF1A,1
MTHFD2,1
SMC4,1
PDCD4,1
CSGALNACT2,1
CD200R1,1
ZNFX1,1
IL17RA,1
FAM129A,1
DDX26B,1
KIAA0922,1
WDFY4,2
CD37,2
ARHGAP30,2
SASH3,2
HLA-DOB,2
IL23A,2
GPR18,2
DEF6,2
IL16,2
GCET2,2
CD48,2
IKZF1,2
CORO1A,2
IRF8,2
HLA-DPB1,2
CD52,2
PTPRCAP,2
ARHGAP15,2
SELL,2
SLA,2
GZMA,2
DGKA,2
PLAC8,2
BIN2,2
BIRC3,2
CD3D,2
STK4,2
HMHA1,2
DOCK10,2
FYB,2
ITGA4,2
CST7,2
STK17B,2
TAGAP,2
KLHL6,2
EVL,2
CXCR4,2
DAPP1,2
ITGAL,2
SERPINB9,2
NLRC5,2
CLEC2D,2
AIM2,2
AKNA,2
PTPN22,2
STAT4,2
PTPRC,2
BCL11B,2
TBC1D10C,2
C16orf54,2
ITK,2
RUNX3,2
LCK,2
LPXN,2
RAC2,2
ISG20,2
C12orf35,2
TRBC1,2
IL2RG,2
KLRK1,2
SLAMF7,2
CCL5,2
APOBEC3G,2
KLRD1,2
CD69,2
ARHGAP25,2
FAM65B,2
CD247,2
SH2D1A,2
GZMK,2
P2RY13,2
SAMD3,2
CRTAM,2
CYTIP,2
CD96,2
TRAF3IP3,2
CSK,2
MAP4K1,2
IL2RB,2
AMICA1,2
IRF4,2
CD27,2
LAX1,2
LIMD2,2
FAIM3,2
Septin 1,2
FAM113B,2
ACAP1,2
KLRB1,2
RHOH,2
CD3E,2
NLRC3,2
CD2,2
TRAT1,2
THEMIS,2
BTLA,2
KLRG1,2
LTB,2
GPR171,2
CLEC10A,2
P2RY8,2
KIAA0748,2
TRD@,2
RASSF5,2
CCR7,2
ARHGAP9,2
CCR5,2
EOMES,2
PATL2,2
WIPF1,2
ZNF267,2
TMC8,2
CD8A,2
CD6,2
SLAMF1,2
CD5,2
ZAP70,2
SIRPG,2
SP140,2
SMAP2,2
NKG7,2
GZMH,2
CXCR6,2
RASGRP2,2
GZMB,2
NELL2,2
TNF,2
DUSP2,2
TCF7,2
IL7R,2
LOC100128751,2
SIT1,2
RASAL3,2
PTPN7,2
SYTL1,2
PARP15,2
TNFRSF25,2
PRDM1,2
P2RY10,2
PYHIN1,2
CD8B,2
PRF1,2
CTSW,2
ICOS,2
SLAMF6,2
TBX21,2
KLRC1,2
TIGIT,2
CD38,2
GNLY,2
IFITM3,3
S100A11,3
IFITM2,3
COL1A1,3
COL1A2,3
COL3A1,3
COL5A1,3
COL5A2,3
COL6A3,3
FSTL1,3
FBN1,3
CTHRC1,3
TIMP1,3
CMTM3,3
NNMT,3
TMSB10,3
YWHAH,3
LPCAT1,3
ESYT1,3
TMEM43,3
MYOF,3
TPBG,3
CLIC1,3
PLP2,3
CKAP4,3
TUBA1A,3
ANXA2,3
ANXA2P2,3
SNHG12,3
YEATS2,3
C1RL,3
IQGAP1,3
DCK,3
ACTR3,3
IFNGR1,3
CAPZA1,3
TMEM123,3
VPS13C,3
ELF1,3
ODF2L,3
SDCBP,3
VIM,3
LAMC1,3
CALU,3
PXDN,3
VCAN,3
PPT1,3
NSMAF,3
ASAP1,3
SWAP70,3
BNIP2,3
ELK3,3
NAP1L1,3
Septin 7,3
TSPO,3
HNRNPH3,3
HNRPDL,3
PNN,3
HNRNPA2B1,3
RNF149,3
TMEM87B,3
RCN1,3
BASP1,3
MARCKS,3
PEA15,3
CDV3,3
DOCK11,3
TTC13,3
SACS,3
FBXW7,3
DSE,3
IL10RB,3
ARL6IP6,3
CCDC112,3
CHST15,3
PTGFRN,3
GPX8,3
RB1,3
FAR1,3
CASP3,3
RUNX1,3
TGFBI,3
S100A4,3
HK1,3
LRRFIP1,3
CAP1,3
SIPA1,3
CNPY3,3
OLFML2B,3
TMEM45A,3
ZBTB1,3
BTAF1,3
MORC3,3
SENP7,3
RECQL,3
C1orf63,3
ZNF532,3
NEDD1,3
SOAT1,3
DYRK2,3
MAP4K4,3
MYO5A,3
RP2,3
TUBB,3
TTC14,3
LUC7L3,3
CCDC14,3
ATAD2B,3
RPL39L,3
